date,inclination_deg,clear_sky_peak_wm2,clear_sky_daily_kwh_m2
2014-02-22,5,705.996,4.54298
2014-02-23,5,711.994,4.60024
2014-02-24,5,717.984,4.65779
2014-02-25,5,723.965,4.71559
2014-02-26,5,729.932,4.77363
2014-02-27,5,735.883,4.83188
2014-02-28,5,741.815,4.89031
2014-03-01,5,747.726,4.9489
2014-03-02,5,753.613,5.00764
2014-03-03,5,759.473,5.06649
2014-03-04,5,765.303,5.12543
2014-03-05,5,771.102,5.18445
2014-03-06,5,776.866,5.24351
2014-03-07,5,782.594,5.3026
2014-03-08,5,788.283,5.3617
2014-03-09,5,793.931,5.42078
2014-03-10,5,799.536,5.47982
2014-03-11,5,805.096,5.53881
2014-03-12,5,810.609,5.59773
2014-03-13,5,816.073,5.65654
2014-03-14,5,821.486,5.71523
2014-03-15,5,826.847,5.77381
2014-03-16,5,831.719,5.82776
2014-03-17,5,836.078,5.87705
2014-03-18,5,840.382,5.92614
2014-03-19,5,844.631,5.97498
2014-03-20,5,848.823,6.02357
2014-03-21,5,852.958,6.07191
2014-03-22,5,857.034,6.11996
2014-03-23,5,861.049,6.16771
2014-03-24,5,865.003,6.21515
2014-03-25,5,868.894,6.26226
2014-03-26,5,872.722,6.30902
2014-03-27,5,876.486,6.35544
2014-03-28,5,880.184,6.40147
2014-03-29,5,883.816,6.44712
2014-03-30,5,887.381,6.49236
2014-03-31,5,890.878,6.53719
2014-04-01,5,894.315,6.58159
2014-04-02,5,897.703,6.62555
2014-04-03,5,901.022,6.66906
2014-04-04,5,904.271,6.7121
2014-04-05,5,907.449,6.75467
2014-04-06,5,910.557,6.79674
2014-04-07,5,913.594,6.83832
2014-04-08,5,916.56,6.8794
2014-04-09,5,919.456,6.91996
2014-04-10,5,922.28,6.96
2014-04-11,5,925.033,6.9995
2014-04-12,5,927.716,7.03846
2014-04-13,5,930.328,7.07686
2014-04-14,5,932.87,7.11472
2014-04-15,5,935.342,7.15201
2014-04-16,5,937.942,7.1908
2014-04-17,5,940.471,7.22901
2014-04-18,5,942.932,7.26663
2014-04-19,5,945.323,7.30368
2014-04-20,5,947.655,7.34013
2014-04-21,5,949.928,7.376
2014-04-22,5,952.134,7.41126
2014-04-23,5,954.272,7.44591
2014-04-24,5,956.343,7.47995
2014-04-25,5,958.347,7.51337
2014-04-26,5,960.286,7.54617
2014-04-27,5,962.16,7.57835
2014-04-28,5,963.97,7.6099
2014-04-29,5,965.716,7.64082
2014-04-30,5,967.399,7.67109
2014-05-01,5,969.02,7.70072
2014-05-02,5,970.581,7.72971
2014-05-03,5,972.081,7.75806
2014-05-04,5,973.522,7.78576
2014-05-05,5,974.904,7.81281
2014-05-06,5,976.229,7.83921
2014-05-07,5,977.498,7.86494
2014-05-08,5,978.711,7.89002
2014-05-09,5,979.869,7.91446
2014-05-10,5,980.974,7.93823
2014-05-11,5,982.026,7.96134
2014-05-12,5,983.026,7.98379
2014-05-13,5,983.976,8.00558
2014-05-14,5,984.877,8.02671
2014-05-15,5,985.728,8.04719
2014-05-16,5,986.374,8.06527
2014-05-17,5,986.816,8.08095
2014-05-18,5,987.214,8.09597
2014-05-19,5,987.567,8.11033
2014-05-20,5,987.878,8.12403
2014-05-21,5,988.147,8.13707
2014-05-22,5,988.375,8.14946
2014-05-23,5,988.562,8.1612
2014-05-24,5,988.711,8.17227
2014-05-25,5,988.821,8.18268
2014-05-26,5,988.893,8.19244
2014-05-27,5,988.929,8.20154
2014-05-28,5,988.929,8.20999
2014-05-29,5,988.894,8.21779
2014-05-30,5,988.825,8.22493
2014-05-31,5,988.722,8.23142
2014-06-01,5,988.586,8.23726
2014-06-02,5,988.418,8.24245
2014-06-03,5,988.219,8.24699
2014-06-04,5,987.989,8.25088
2014-06-05,5,987.728,8.25413
2014-06-06,5,987.438,8.25673
2014-06-07,5,987.119,8.25869
2014-06-08,5,986.779,8.26
2014-06-09,5,986.42,8.26067
2014-06-10,5,986.034,8.2607
2014-06-11,5,985.621,8.26009
2014-06-12,5,985.182,8.25884
2014-06-13,5,984.717,8.25696
2014-06-14,5,984.226,8.25444
2014-06-15,5,983.71,8.25129
2014-06-16,5,983.839,8.25504
2014-06-17,5,983.943,8.25815
2014-06-18,5,984.022,8.26063
2014-06-19,5,984.075,8.26247
2014-06-20,5,984.103,8.26368
2014-06-21,5,984.107,8.26425
2014-06-22,5,984.086,8.26419
2014-06-23,5,984.04,8.26349
2014-06-24,5,983.969,8.26216
2014-06-25,5,983.874,8.2602
2014-06-26,5,983.754,8.25761
2014-06-27,5,983.609,8.25439
2014-06-28,5,983.439,8.25055
2014-06-29,5,983.244,8.24607
2014-06-30,5,983.024,8.24097
2014-07-01,5,982.778,8.23524
2014-07-02,5,982.513,8.22888
2014-07-03,5,982.231,8.2219
2014-07-04,5,981.922,8.21429
2014-07-05,5,981.586,8.20606
2014-07-06,5,981.221,8.19721
2014-07-07,5,980.829,8.18773
2014-07-08,5,980.409,8.17763
2014-07-09,5,979.959,8.1669
2014-07-10,5,979.48,8.15556
2014-07-11,5,978.971,8.14359
2014-07-12,5,978.431,8.13101
2014-07-13,5,977.859,8.11781
2014-07-14,5,977.256,8.10399
2014-07-15,5,976.62,8.08955
2014-07-16,5,975.677,8.07146
2014-07-17,5,974.427,8.04974
2014-07-18,5,973.143,8.02741
2014-07-19,5,971.821,8.00447
2014-07-20,5,970.464,7.98092
2014-07-21,5,969.068,7.95677
2014-07-22,5,967.634,7.93202
2014-07-23,5,966.161,7.90668
2014-07-24,5,964.648,7.88073
2014-07-25,5,963.094,7.85418
2014-07-26,5,961.498,7.82704
2014-07-27,5,959.86,7.79931
2014-07-28,5,958.178,7.77098
2014-07-29,5,956.452,7.74207
2014-07-30,5,954.681,7.71257
2014-07-31,5,952.863,7.68248
2014-08-01,5,950.999,7.65181
2014-08-02,5,949.087,7.62056
2014-08-03,5,947.126,7.58873
2014-08-04,5,945.115,7.55632
2014-08-05,5,943.054,7.52334
2014-08-06,5,940.942,7.48979
2014-08-07,5,938.778,7.45567
2014-08-08,5,936.56,7.42098
2014-08-09,5,934.289,7.38573
2014-08-10,5,931.963,7.34992
2014-08-11,5,929.582,7.31356
2014-08-12,5,927.144,7.27663
2014-08-13,5,924.648,7.23916
2014-08-14,5,922.095,7.20114
2014-08-15,5,919.483,7.16257
2014-08-16,5,917.209,7.12761
2014-08-17,5,915.275,7.09626
2014-08-18,5,913.281,7.06435
2014-08-19,5,911.242,7.03188
2014-08-20,5,909.148,6.99887
2014-08-21,5,906.993,6.9653
2014-08-22,5,904.778,6.93121
2014-08-23,5,902.501,6.89657
2014-08-24,5,900.162,6.86141
2014-08-25,5,897.76,6.82573
2014-08-26,5,895.296,6.78953
2014-08-27,5,892.769,6.75282
2014-08-28,5,890.179,6.71561
2014-08-29,5,887.525,6.6779
2014-08-30,5,884.807,6.63971
2014-08-31,5,882.025,6.60104
2014-09-01,5,879.18,6.56189
2014-09-02,5,876.27,6.52227
2014-09-03,5,873.295,6.4822
2014-09-04,5,870.257,6.44168
2014-09-05,5,867.163,6.40072
2014-09-06,5,864.028,6.35933
2014-09-07,5,860.828,6.31752
2014-09-08,5,857.566,6.2753
2014-09-09,5,854.24,6.23267
2014-09-10,5,850.851,6.18964
2014-09-11,5,847.399,6.14623
2014-09-12,5,843.885,6.10244
2014-09-13,5,840.308,6.05828
2014-09-14,5,836.67,6.01377
2014-09-15,5,832.971,5.96891
2014-09-16,5,829.083,5.92247
2014-09-17,5,825.134,5.87572
2014-09-18,5,821.127,5.82866
2014-09-19,5,817.061,5.78131
2014-09-20,5,812.97,5.73369
2014-09-21,5,808.823,5.6858
2014-09-22,5,804.62,5.63767
2014-09-23,5,800.364,5.5893
2014-09-24,5,796.054,5.54071
2014-09-25,5,791.692,5.49193
2014-09-26,5,787.28,5.44295
2014-09-27,5,782.818,5.3938
2014-09-28,5,778.309,5.3445
2014-09-29,5,773.753,5.29506
2014-09-30,5,769.153,5.24549
2014-10-01,5,764.51,5.19582
2014-10-02,5,759.825,5.14606
2014-10-03,5,755.101,5.09624
2014-10-04,5,750.338,5.04636
2014-10-05,5,745.565,4.99644
2014-10-06,5,740.759,4.94651
2014-10-07,5,735.921,4.89658
2014-10-08,5,731.051,4.84666
2014-10-09,5,726.152,4.79677
2014-10-10,5,721.226,4.74694
2014-10-11,5,716.274,4.69717
2014-10-12,5,711.3,4.6475
2014-10-13,5,706.305,4.59793
2014-10-14,5,701.291,4.54848
2014-10-15,5,696.261,4.49919
2014-10-16,5,691.218,4.45005
2014-10-17,5,686.164,4.40111
2014-10-18,5,681.101,4.35237
2014-10-19,5,676.033,4.30386
2014-10-20,5,670.961,4.2556
2014-10-21,5,665.889,4.20761
2014-10-22,5,660.819,4.1599
2014-10-23,5,655.754,4.11251
2014-10-24,5,650.697,4.06545
2014-10-25,5,645.651,4.01874
2014-10-26,5,640.618,3.97241
2014-10-27,5,635.601,3.92647
2014-10-28,5,630.605,3.88094
2014-10-29,5,625.631,3.83586
2014-10-30,5,620.682,3.79123
2014-10-31,5,615.762,3.74708
2014-11-01,5,610.874,3.70344
2014-11-02,5,606.021,3.66031
2014-11-03,5,601.206,3.61773
2014-11-04,5,596.431,3.5757
2014-11-05,5,591.7,3.53426
2014-11-06,5,587.016,3.49341
2014-11-07,5,582.381,3.45319
2014-11-08,5,577.799,3.41359
2014-11-09,5,573.273,3.37465
2014-11-10,5,568.805,3.33639
2014-11-11,5,564.399,3.29881
2014-11-12,5,560.058,3.26195
2014-11-13,5,555.785,3.22581
2014-11-14,5,551.582,3.19042
2014-11-15,5,547.453,3.15579
2014-11-16,5,543.748,3.12465
2014-11-17,5,540.124,3.09429
2014-11-18,5,536.583,3.06474
2014-11-19,5,533.129,3.03601
2014-11-20,5,529.764,3.00812
2014-11-21,5,526.49,2.98108
2014-11-22,5,523.312,2.95491
2014-11-23,5,520.231,2.92963
2014-11-24,5,517.25,2.90525
2014-11-25,5,514.373,2.88178
2014-11-26,5,511.6,2.85925
2014-11-27,5,508.936,2.83766
2014-11-28,5,506.382,2.81703
2014-11-29,5,503.949,2.79737
2014-11-30,5,501.656,2.7787
2014-12-01,5,499.481,2.76103
2014-12-02,5,497.427,2.74437
2014-12-03,5,495.496,2.72873
2014-12-04,5,493.689,2.71413
2014-12-05,5,492.008,2.70056
2014-12-06,5,490.456,2.68804
2014-12-07,5,489.033,2.67659
2014-12-08,5,487.742,2.66621
2014-12-09,5,486.584,2.65691
2014-12-10,5,485.561,2.6487
2014-12-11,5,484.675,2.64159
2014-12-12,5,483.965,2.63557
2014-12-13,5,483.395,2.63068
2014-12-14,5,482.964,2.62691
2014-12-15,5,482.675,2.62426
2014-12-16,5,482.198,2.62029
2014-12-17,5,481.534,2.61502
2014-12-18,5,481.012,2.61087
2014-12-19,5,480.632,2.60785
2014-12-20,5,480.394,2.60598
2014-12-21,5,480.299,2.60525
2014-12-22,5,480.381,2.60566
2014-12-23,5,480.616,2.6072
2014-12-24,5,480.995,2.60989
2014-12-25,5,481.517,2.61372
2014-12-26,5,482.181,2.61868
2014-12-27,5,482.988,2.62479
2014-12-28,5,483.937,2.63203
2014-12-29,5,485.027,2.64041
2014-12-30,5,486.258,2.64993
2014-12-31,5,487.629,2.66057
2015-01-01,5,489.166,2.67234
2015-01-02,5,490.856,2.68523
2015-01-03,5,492.681,2.69924
2015-01-04,5,494.642,2.71436
2015-01-05,5,496.737,2.7306
2015-01-06,5,498.965,2.74793
2015-01-07,5,501.323,2.76636
2015-01-08,5,503.811,2.78587
2015-01-09,5,506.426,2.80647
2015-01-10,5,509.168,2.82814
2015-01-11,5,512.033,2.85088
2015-01-12,5,515.024,2.87467
2015-01-13,5,518.165,2.89951
2015-01-14,5,521.423,2.92538
2015-01-15,5,524.796,2.95228
2015-01-16,5,528.13,2.97902
2015-01-17,5,531.423,3.00559
2015-01-18,5,534.824,3.03312
2015-01-19,5,538.329,3.06163
2015-01-20,5,541.937,3.09107
2015-01-21,5,545.644,3.12146
